fullname,part_of
Thomomys idahoensis,Geomyidae
Thomomys mazama,Geomyidae
Dipodomys nitratoides,Heteromyidae
Thomomys clusius,Geomyidae
Thomomys bottae,Geomyidae
Geomys pinetis,Geomyidae
Geomys bursarius,Geomyidae
Geomys arenarius,Geomyidae
Geomys personatus,Geomyidae
Thomomys bulbivorus,Geomyidae
Tamias umbrinus,Sciuridae
Tamias townsendii,Sciuridae
Tamias striatus,Sciuridae
Tamias siskiyou,Sciuridae
Tamias speciosus,Sciuridae
Castor canadensis,Castoridae
Tamias ruficaudus,Sciuridae
Tamias senex,Sciuridae
Tamias quadrivittatus,Sciuridae
Tamias quadrimaculatus,Sciuridae
Tamias panamintinus,Sciuridae
Tamias palmeri,Sciuridae
Tamias ochrogenys,Sciuridae
Tamias minimus,Sciuridae
Tamias obscurus,Sciuridae
Tamias merriami,Sciuridae
Tamias dorsalis,Sciuridae
Tamias cinereicollis,Sciuridae
Tamias canipes,Sciuridae
Tamias alpinus,Sciuridae
Tamias amoenus,Sciuridae
Cynomys parvidens,Sciuridae
Cynomys leucurus,Sciuridae
Cynomys gunnisoni,Sciuridae
Ammospermophilus nelsoni,Sciuridae
Cynomys ludovicianus,Sciuridae
Ammospermophilus leucurus,Sciuridae
Ammospermophilus interpres,Sciuridae
Ammospermophilus harrisii,Sciuridae
Sciurus griseus,Sciuridae
Sciurus arizonensis,Sciuridae
Sciurus nayaritensis,Sciuridae
Sciurus aberti,Sciuridae
Sciurus carolinensis,Sciuridae
Glaucomys volans,Sciuridae
Glaucomys sabrinus,Sciuridae
Tamiasciurus douglasii,Sciuridae
Marmota vancouverensis,Sciuridae
Sciurus niger,Sciuridae
Tamiasciurus hudsonicus,Sciuridae
Marmota flaviventris,Sciuridae
Marmota caligata,Sciuridae
Marmota olympus,Sciuridae
Aplodontia rufa,Aplodontiidae
Marmota broweri,Sciuridae
Sylvilagus nuttallii,Leporidae
Marmota monax,Sciuridae
Sylvilagus transitionalis,Leporidae
Sylvilagus bachmani,Leporidae
Sylvilagus audubonii,Leporidae
Oryctolagus cuniculus,Leporidae
Sylvilagus aquaticus,Leporidae
Lepus townsendii,Leporidae
Sylvilagus palustris,Leporidae
Sylvilagus floridanus,Leporidae
Lepus capensis,Leporidae
Lepus callotis,Leporidae
Lepus alleni,Leporidae
Lepus timidus,Leporidae
Lepus californicus,Leporidae
Lepus americanus,Leporidae
Ochotona collaris,Ochotonidae
Dasypus novemcinctus,Dasypodidae
Macaca mulatta,Cercopithecidae
Saimiri sciureus,Cebidae
Macaca fascicularis,Cercopithecidae
Eumops perotis,Molossidae
Homo sapiens,Hominidae
Eumops underwoodi,Molossidae
Tadarida brasiliensis,Molossidae
Molossus molossus,Molossidae
Nyctinomops macrotis,Molossidae
Nyctinomops femorosaccus,Molossidae
Eumops glaucinus,Molossidae
Stenoderma rufum,Phyllostomidae
Monophyllus plethodon,Phyllostomidae
Monophyllus redmani,Phyllostomidae
Macrotus californicus,Phyllostomidae
Leptonycteris nivalis,Phyllostomidae
Erophylla sezekorni,Phyllostomidae
Diphylla ecaudata,Phyllostomidae
Brachyphylla cavernarum,Phyllostomidae
Choeronycteris mexicana,Phyllostomidae
Pteronotus parnellii,Mormoopidae
Artibeus jamaicensis,Phyllostomidae
Pteronotus quadridens,Mormoopidae
Mormoops megalophylla,Mormoopidae
Noctilio leporinus,Noctilionidae
Emballonura semicaudata,Emballonuridae
Pteropus tokudae,Pteropodidae
Mormoops blainvillii,Mormoopidae
Pteropus samoensis,Pteropodidae
Pteropus pilosus,Pteropodidae
Pteropus molossinus,Pteropodidae
Pteropus mariannus,Pteropodidae
Pteropus insularis,Pteropodidae
Notopteris macdonaldi,Pteropodidae
Pteropus admiralitatum,Pteropodidae
Lasiurus seminolus,Vespertilionidae
Nycticeius humeralis,Vespertilionidae
Lasiurus intermedius,Vespertilionidae
Lasiurus ega,Vespertilionidae
Lasiurus cinereus,Vespertilionidae
Lasiurus borealis,Vespertilionidae
Lasionycteris noctivagans,Vespertilionidae
Euderma maculatum,Vespertilionidae
Idionycteris phyllotis,Vespertilionidae
Eptesicus fuscus,Vespertilionidae
Antrozous pallidus,Vespertilionidae
Myotis yumanensis,Vespertilionidae
Myotis velifer,Vespertilionidae
Myotis thysanodes,Vespertilionidae
Myotis septentrionalis,Vespertilionidae
Myotis leibii,Vespertilionidae
Myotis insularum,Vespertilionidae
Myotis sodalis,Vespertilionidae
Myotis fortidens,Vespertilionidae
Myotis evotis,Vespertilionidae
Myotis ciliolabrum,Vespertilionidae
Myotis grisescens,Vespertilionidae
Myotis austroriparius,Vespertilionidae
Myotis auriculus,Vespertilionidae
Myotis californicus,Vespertilionidae
Myotis keenii,Vespertilionidae
Myotis volans,Vespertilionidae
Scapanus townsendii,Talpidae
Scapanus latimanus,Talpidae
Scapanus orarius,Talpidae
Scalopus aquaticus,Talpidae
Myotis lucifugus,Vespertilionidae
Parascalops breweri,Talpidae
Neurotrichus gibbsii,Talpidae
Notiosorex crawfordi,Soricidae
Blarina hylophaga,Soricidae
Cryptotis parva,Soricidae
Blarina carolinensis,Soricidae
Blarina brevicauda,Soricidae
Sorex alaskanus,Soricidae
Sorex palustris,Soricidae
Sorex vagrans,Soricidae
Sorex jacksoni,Soricidae
Sorex pribilofensis,Soricidae
Sorex cinereus,Soricidae
Petrogale penicillata,Macropodidae
Suncus murinus,Soricidae
Sorex tundrensis,Soricidae
Didelphis virginiana,Didelphidae
Sorex trowbridgii,Soricidae
Sorex tenellus,Soricidae
Sorex pacificus,Soricidae
Sorex preblei,Soricidae
Sorex ornatus,Soricidae
Sorex nanus,Soricidae
Sorex monticolus,Soricidae
Sorex merriami,Soricidae
Sorex lyelli,Soricidae
Sorex hoyi,Soricidae
Sorex haydeni,Soricidae
Sorex gaspensis,Soricidae
Sorex fumeus,Soricidae
Sorex dispar,Soricidae
Sorex arizonae,Soricidae
Sorex arcticus,Soricidae
Sorex longirostris,Soricidae
Sorex bendirii,Soricidae
Pongo tapanuliensis,Pongo
Cheirogaleus shethi,Cheirogaleus
Microcebus manitatra,Microcebus
Microcebus ganzhorni,Microcebus
Microcebus boraha,Microcebus
Plecturocebus aureipalatii,Plecturocebus
Plecturocebus stephennashi,Plecturocebus
Plecturocebus brunneus,Plecturocebus
Plecturocebus ornatus,Plecturocebus
Plecturocebus caligatus,Plecturocebus
Plecturocebus discolor,Plecturocebus
Plecturocebus caquetensis,Plecturocebus
Plecturocebus baptista,Plecturocebus
Plecturocebus cupreus,Plecturocebus
Plecturocebus hoffmannsi,Plecturocebus
Plecturocebus miltoni,Plecturocebus
Plecturocebus cinerascens,Plecturocebus
Plecturocebus bernhardi,Plecturocebus
Plecturocebus vieirai,Plecturocebus
Plecturocebus moloch,Plecturocebus
Plecturocebus modestus,Plecturocebus
Plecturocebus olallae,Plecturocebus
Plecturocebus oenanthe,Plecturocebus
Plecturocebus pallescens,Plecturocebus
Cheracebus purinus,Cheracebus
Cheracebus regulus,Cheracebus
Cheracebus lucifer,Cheracebus
Plecturocebus donacophilus,Plecturocebus
Cheracebus medemi,Cheracebus
Cheracebus lugens,Cheracebus
Cheracebus torquatus,Cheracebus
Giraffa reticulata,Giraffa
Giraffa tippelskirchi,Giraffa
Cheirogaleus andysabini,Cheirogaleus
Saimiri collinsi,Saimiri
Macaca leucogenys,Macaca
Cacajao hosomi,Cacajao
Cacajao ayresi,Cacajao
Pithecia vanzolinii,Pithecia
Pithecia napensis,Pithecia
Pithecia milleri,Pithecia
Pithecia chrysocephala,Pithecia
Eumops ferox,Eumops
Mormopterus halli,Mormopterus
Mormopterus cobourgianus,Mormopterus
Mormopterus ridei,Mormopterus
Mormopterus lumsdenae,Mormopterus
Canis anthus,Canis
Pedetes surdaster,Pedetes
Mormopterus kitcheneri,Mormopterus
Mormopterus petersi,Mormopterus
Akodon caenosus,Akodon
Calomys cerqueirai,Calomys
Baiyankamys shawmayeri,Baiyankamys
Baiyankamys habbema,Baiyankamys
Hydromys ziegleri,Hydromys
Margaretamys christinae,Margaretamys
Paucidentomys vermidax,Paucidentomys
Waiomys mamasae,Waiomys
Oecomys sydandersoni,Oecomys
Saxatilomys paulinae,Saxatilomys
Leptomys arfakensis,Leptomys
Leptomys paulus,Leptomys
Coccymys shawmayeri,Coccymys
Coccymys kirrhos,Coccymys
Eliurus danieli,Eliurus
Neomicroxus latebricola,Neomicroxus
Neomicroxus bogotensis,Neomicroxus
Hylomyscus kerbispeterhansi,Hylomyscus
Microhydromys argenteus,Microhydromys
Musseromys gulantang,Musseromys
Soricomys musseri,Soricomys
Soricomys kalinga,Soricomys
Sooretamys angouya,Sooretamys
Nephelomys pectoralis,Nephelomys
Transandinomys talamancae,Transandinomys
Oreoryzomys balneator,Oreoryzomys
Nephelomys nimbosus,Nephelomys
Transandinomys bolivaris,Transandinomys
Nephelomys moerex,Nephelomys
Nephelomys keaysi,Nephelomys
Nephelomys devius,Nephelomys
Nephelomys childi,Nephelomys
Nephelomys pirrensis,Nephelomys
Nephelomys meridensis,Nephelomys
Nephelomys maculiventer,Nephelomys
Nephelomys levipes,Nephelomys
Nephelomys caracolus,Nephelomys
Nephelomys auriventer,Nephelomys
Nephelomys albigularis,Nephelomys
Hylaeamys megacephalus,Hylaeamys
Hylaeamys laticeps,Hylaeamys
Hylaeamys oniscus,Hylaeamys
Mindomys hammondi,Mindomys
Hylaeamys perenensis,Hylaeamys
Hylaeamys tatei,Hylaeamys
Hylaeamys yunganus,Hylaeamys
Hylaeamys acritus,Hylaeamys
Mirzamys norahae,Mirzamys
Mirzamys louiseae,Mirzamys
Pseudohydromys germani,Pseudohydromys
Pseudohydromys pumehanae,Pseudohydromys
Pseudohydromys musseri,Pseudohydromys
Pseudohydromys sandrae,Pseudohydromys
Pseudohydromys patriciae,Pseudohydromys
Pseudohydromys eleanorae,Pseudohydromys
Euryoryzomys russatus,Euryoryzomys
Euryoryzomys legatus,Euryoryzomys
Euryoryzomys lamia,Euryoryzomys
Euryoryzomys macconnelli,Euryoryzomys
Euryoryzomys emmonsae,Euryoryzomys
Euryoryzomys nitidus,Euryoryzomys
Cerradomys goytaca,Cerradomys
Cerradomys vivoi,Cerradomys
Cerradomys langguthi,Cerradomys
Eremoryzomys polius,Eremoryzomys
Cerradomys subflavus,Cerradomys
Cerradomys scotti,Cerradomys
Cerradomys marinhus,Cerradomys
Cerradomys maracajuensis,Cerradomys
Aegialomys galapagoensis,Aegialomys
Aegialomys xanthaeolus,Aegialomys
Tonkinomys daovantieni,Tonkinomys
Voalavo antsahabensis,Voalavo
Halmaheramys bokimekot,Halmaheramys
Rattus satarae,Rattus
Mus nitidulus,Mus
Otomys orestes,Otomys
Otomys uzungwensis,Otomys
Otomys lacustris,Otomys
Otomys jacksoni,Otomys
Otomys dollmani,Otomys
Otomys dartmouthi,Otomys
Otomys cuanzensis,Otomys
Otomys burtoni,Otomys
Otomys barbouri,Otomys
Myotomys unisulcatus,Myotomys
Myotomys sloggetti,Myotomys
Uromys neobritannicus,Uromys
Uromys siebersi,Uromys
Uromys emmae,Uromys
Vandeleuria nilagirica,Vandeleuria
Sommeromys macrorhinos,Sommeromys
Rattus omichlodes,Rattus
Rattus niobe,Rattus
Rattus vandeuseni,Rattus
Rattus richardsoni,Rattus
Rattus verecundus,Rattus
Stenocephalemys ruppi,Stenocephalemys
Stenocephalemys albipes,Stenocephalemys
Rhabdomys dilectus,Rhabdomys
Rattus blangorum,Rattus
Rhagamys orthodon,Rhagamys
Taeromys microbullatus,Taeromys
Rattus pyctoris,Rattus
Thamnomys major,Thamnomys
Rattus salocco,Rattus
Rattus pococki,Rattus
Rattus arrogans,Rattus
Rattus arfakiensis,Rattus
Pseudomys calabyi,Pseudomys
Rattus andamanensis,Rattus
Pseudohydromys fuscus,Pseudohydromys
Pseudohydromys ellermani,Pseudohydromys
Protochromys fellowsi,Protochromys
Praomys petteri,Praomys
Praomys verschureni,Praomys
Praomys obscurus,Praomys
Praomys lukolelae,Praomys
Praomys derooi,Praomys
Praomys degraaffi,Praomys
Praomys daltoni,Praomys
Pogonomys fergussoniensis,Pogonomys
Pithecheirops otion,Pithecheirops
Pithecheir melanurus,Pithecheir
Paramelomys steini,Paramelomys
Paramelomys rubex,Paramelomys
Paramelomys platyops,Paramelomys
Paramelomys naso,Paramelomys
Paramelomys moncktoni,Paramelomys
Paramelomys mollis,Paramelomys
Paramelomys lorentzii,Paramelomys
Paramelomys levipes,Paramelomys
Niviventer fraternus,Niviventer
Paramelomys gressitti,Paramelomys
Niviventer cameroni,Niviventer
Uromys boeadii,Uromys
Nesoromys ceramicus,Nesoromys
Myomyscus yemeni,Myomyscus
Myomyscus verreauxii,Myomyscus
Niviventer coninga,Niviventer
Nilopegamys plumbeus,Nilopegamys
Myomyscus brockmani,Myomyscus
Mylomys rex,Mylomys
Mus fragilicauda,Mus
Micaelamys granti,Micaelamys
Myomyscus angolensis,Myomyscus
Micaelamys namaquensis,Micaelamys
Melomys talaudium,Melomys
Melomys paveli,Melomys
Melomys lutillus,Melomys
Melomys matambuai,Melomys
Melomys fulgens,Melomys
Melomys howi,Melomys
Melomys frigicola,Melomys
Melomys dollmani,Melomys
Melomys cooperae,Melomys
Melomys caurinus,Melomys
Melomys bannisteri,Melomys
Melomys arcium,Melomys
Mastomys kollmannspergeri,Mastomys
Mastomys awashensis,Mastomys
Mastacomys fuscus,Mastacomys
Mastomys huberti,Mastomys
Mammelomys rattoides,Mammelomys
Mammelomys lanosus,Mammelomys
Madromys blanfordi,Madromys
Limnomys bryophilus,Limnomys
Lemniscomys zebra,Lemniscomys
Leopoldamys milleti,Leopoldamys
Leopoldamys ciliatus,Leopoldamys
Hylomyscus grandis,Hylomyscus
Hydromys neobritannicus,Hydromys
Hadromys yunnanensis,Hadromys
Hybomys badius,Hybomys
Grammomys kuru,Grammomys
Grammomys poensis,Grammomys
Echiothrix centrosa,Echiothrix
Desmomys yaldeni,Desmomys
Diplothrix legata,Diplothrix
Dephomys eburneae,Dephomys
Dasymys sua,Dasymys
Dasymys rwandae,Dasymys
Dasymys cabrali,Dasymys
Crunomys suncoides,Crunomys
Dasymys alleni,Dasymys
Crateromys heaneyi,Crateromys
Chrotomys silaceus,Chrotomys
Bullimus gamay,Bullimus
Arvicanthis rufinus,Arvicanthis
Batomys russatus,Batomys
Arvicanthis niloticus,Arvicanthis
Apomys hylocetes,Apomys
Arvicanthis ansorgei,Arvicanthis
Apomys gracilirostris,Apomys
Apodemus witherbyi,Apodemus
Apodemus pallipes,Apodemus
Apodemus epimelas,Apodemus
Taterillus tranieri,Taterillus
Abeomelomys sevia,Abeomelomys
Aethomys ineptus,Aethomys
Meriones grandis,Meriones
Gerbilliscus validus,Gerbilliscus
Gerbilliscus robustus,Gerbilliscus
Gerbilliscus phillipsi,Gerbilliscus
Gerbilliscus leucogaster,Gerbilliscus
Gerbilliscus nigricaudus,Gerbilliscus
Gerbilliscus inclusus,Gerbilliscus
Gerbilliscus guineae,Gerbilliscus
Gerbilliscus brantsii,Gerbilliscus
Gerbilliscus afra,Gerbilliscus
Gerbilliscus boehmi,Gerbilliscus
Dipodillus zakariai,Dipodillus
Dipodillus stigmonyx,Dipodillus
Dipodillus somalicus,Dipodillus
Dipodillus simoni,Dipodillus
Dipodillus rupicola,Dipodillus
Dipodillus maghrebi,Dipodillus
Dipodillus mackilligini,Dipodillus
Dipodillus lowei,Dipodillus
Dipodillus harwoodi,Dipodillus
Dipodillus dasyurus,Dipodillus
Dipodillus jamesi,Dipodillus
Dipodillus campestris,Dipodillus
Lophuromys zena,Lophuromys
Dipodillus bottai,Dipodillus
Lophuromys verhageni,Lophuromys
Lophuromys roseveari,Lophuromys
Lophuromys huttereri,Lophuromys
Lophuromys eisentrauti,Lophuromys
Lophuromys dudui,Lophuromys
Lophuromys dieterleni,Lophuromys
Lophuromys chrysopus,Lophuromys
Lophuromys brevicaudus,Lophuromys
Lophuromys ansorgei,Lophuromys
Lophuromys aquilus,Lophuromys
Lophuromys angolensis,Lophuromys
Lophuromys brunneus,Lophuromys
Acomys johannis,Acomys
Acomys cineraceus,Acomys
Acomys seurati,Acomys
Acomys dimidiatus,Acomys
Acomys chudeaui,Acomys
Acomys cahirinus,Acomys
Acomys airensis,Acomys
Thomasomys vulcani,Thomasomys
Thomasomys praetor,Thomasomys
Thomasomys ucucha,Thomasomys
Thomasomys popayanus,Thomasomys
Thomasomys macrotis,Thomasomys
Thomasomys onkiro,Thomasomys
Thomasomys ischyrus,Thomasomys
Thomasomys hudsoni,Thomasomys
Thomasomys erro,Thomasomys
Thomasomys caudivarius,Thomasomys
Thomasomys cinnameus,Thomasomys
Thomasomys apeco,Thomasomys
Thaptomys nigrita,Thaptomys
Sigmodon zanjonensis,Sigmodon
Sigmodon planifrons,Sigmodon
Tapecomys primus,Tapecomys
Sigmodon toltecus,Sigmodon
Sigmodon hirsutus,Sigmodon
Rhipidomys modicus,Rhipidomys
Rhipidomys macrurus,Rhipidomys
Rhipidomys gardneri,Rhipidomys
Scapteromys aquaticus,Scapteromys
Salinomys delicatus,Salinomys
Reithrodon typicus,Reithrodon
Punomys kofordi,Punomys
Rhipidomys emiliae,Rhipidomys
Rhagomys longilingua,Rhagomys
Phyllotis bonariensis,Phyllotis
Pearsonomys annectens,Pearsonomys
Oecomys catherinae,Oecomys
Oxymycterus amazonicus,Oxymycterus
Oxymycterus quaestor,Oxymycterus
Oecomys auyantepui,Oecomys
Paralomys gerbillus,Paralomys
Nectomys rattus,Nectomys
Oxymycterus caparoae,Oxymycterus
Oligoryzomys stramineus,Oligoryzomys
Oligoryzomys fornesi,Oligoryzomys
Oxymycterus josei,Oxymycterus
Oligoryzomys brendae,Oligoryzomys
Oxymycterus dasytrichus,Oxymycterus
Noronhomys vespuccii,Noronhomys
Oryzomys curasoae,Oryzomys
Nectomys magdalenae,Nectomys
Nectomys apicalis,Nectomys
Necromys urichi,Necromys
Necromys temchuki,Necromys
Necromys punctulatus,Necromys
Necromys obscurus,Necromys
Necromys lenguarum,Necromys
Necromys lasiurus,Necromys
Necromys benefactus,Necromys
Necromys lactens,Necromys
Necromys amoenus,Necromys
Neacomys paracou,Neacomys
Neacomys musseri,Neacomys
Neacomys minutus,Neacomys
Neacomys dubosti,Neacomys
Microakodontomys transitorius,Microakodontomys
Megaoryzomys curioi,Megaoryzomys
Loxodontomys micropus,Loxodontomys
Lundomys molitor,Lundomys
Juliomys rimofrons,Juliomys
Loxodontomys pikumche,Loxodontomys
Juliomys pictipes,Juliomys
Handleyomys intectus,Handleyomys
Graomys centralis,Graomys
Handleyomys fuscatus,Handleyomys
Deltamys kempi,Deltamys
Chibchanomys orcesi,Chibchanomys
Chelemys delfini,Chelemys
Calomys venustus,Calomys
Phyllotis limatus,Phyllotis
Calomys expulsus,Calomys
Calomys tocantinsi,Calomys
Brucepattersonius paradisus,Brucepattersonius
Brucepattersonius soricinus,Brucepattersonius
Brucepattersonius misionensis,Brucepattersonius
Brucepattersonius iheringi,Brucepattersonius
Brucepattersonius igniventris,Brucepattersonius
Brucepattersonius guarani,Brucepattersonius
Andalgalomys roigi,Andalgalomys
Brucepattersonius griserufescens,Brucepattersonius
Akodon reigi,Akodon
Amphinectomys savamis,Amphinectomys
Akodon pervalens,Akodon
Akodon paranaensis,Akodon
Akodon mystax,Akodon
Akodon montensis,Akodon
Akodon lutescens,Akodon
Aepeomys reigi,Aepeomys
Abrothrix sanborni,Abrothrix
Abrothrix olivaceus,Abrothrix
Abrothrix markhami,Abrothrix
Abrothrix longipilis,Abrothrix
Abrothrix lanosus,Abrothrix
Abrothrix jelskii,Abrothrix
Abrothrix illuteus,Abrothrix
Abrothrix hershkovitzi,Abrothrix
Abrothrix andinus,Abrothrix
Peromyscus sagax,Peromyscus
Peromyscus hylocetes,Peromyscus
Peromyscus beatae,Peromyscus
Peromyscus fraterculus,Peromyscus
Neotoma macrotis,Neotoma
Neotoma leucodon,Neotoma
Habromys ixtlani,Habromys
Habromys delicatulus,Habromys
Neodon sikimensis,Neodon
Neodon forresti,Neodon
Neodon irene,Neodon
Myodes smithii,Myodes
Myodes shanseius,Myodes
Myodes rutilus,Myodes
Myodes rufocanus,Myodes
Myodes rex,Myodes
Myodes imaizumii,Myodes
Myodes regulus,Myodes
Myodes glareolus,Myodes
Myodes gapperi,Myodes
Myodes californicus,Myodes
Myodes centralis,Myodes
Microtus schidlovskii,Microtus
Myodes andersoni,Myodes
Microtus qazvinensis,Microtus
Microtus paradoxus,Microtus
Microtus liechtensteini,Microtus
Microtus kikuchii,Microtus
Microtus levis,Microtus
Microtus ilaeus,Microtus
Microtus dogramacii,Microtus
Microtus clarkei,Microtus
Microtus anatolicus,Microtus
Microtus brachycercus,Microtus
Lemmus portenkoi,Lemmus
Eothenomys miletus,Eothenomys
Eothenomys wardi,Eothenomys
Caryomys inez,Caryomys
Eothenomys cachinus,Eothenomys
Blanfordimys bucharensis,Blanfordimys
Caryomys eva,Caryomys
Arvicola amphibius,Arvicola
Alticola olchonensis,Alticola
Arvicola scherman,Arvicola
Alticola albicaudus,Alticola
Voalavo gymnocaudus,Voalavo
Nesomys lambertoni,Nesomys
Nesomys audeberti,Nesomys
Eliurus petteri,Eliurus
Monticolomys koopmani,Monticolomys
Eliurus grandidieri,Eliurus
Eliurus ellermani,Eliurus
Eliurus antsingy,Eliurus
Brachytarsomys villosa,Brachytarsomys
Steatomys opimus,Steatomys
Steatomys bocagei,Steatomys
Dendromus nyasae,Dendromus
Dendromus leucostomus,Dendromus
Cricetomys kivuensis,Cricetomys
Calomyscus grandis,Calomyscus
Cricetomys ansorgei,Cricetomys
Tachyoryctes storeyi,Tachyoryctes
Calomyscus elburzensis,Calomyscus
Tachyoryctes ibeanus,Tachyoryctes
Spalax uralensis,Spalax
Spalax nehringi,Spalax
Spalax golani,Spalax
Spalax judaei,Spalax
Spalax leucodon,Spalax
Spalax galili,Spalax
Spalax ehrenbergi,Spalax
Spalax carmeli,Spalax
Eospalax smithii,Eospalax
Eospalax rothschildi,Eospalax
Eospalax fontanierii,Eospalax
Salpingotulus michaelis,Salpingotulus
Allactaga williamsi,Allactaga
Dryomys niethammeri,Dryomys
Eliomys munbyanus,Eliomys
Graphiurus nagtglasii,Graphiurus
Chaetocauda sichuanensis,Chaetocauda
Graphiurus johnstoni,Graphiurus
Graphiurus angolensis,Graphiurus
Hsunycteris thomasi,Hsunycteris
Glis glis,Glis
Vampyriscus brocki,Vampyriscus
Vampyriscus nymphaea,Vampyriscus
Vampyriscus bidens,Vampyriscus
Myotis midastactus,Myotis
Rhinolophus belligerator,Rhinolophus
Rhinolophus mcintyrei,Rhinolophus
Anoura cadenai,Anoura
Thyroptera wynneae,Thyroptera
Rhinolophus proconsulis,Rhinolophus
Scotophilus trujilloi,Scotophilus
Scotophilus ejetai,Scotophilus
Scotophilus livingstonii,Scotophilus
Scotophilus tandrefana,Scotophilus
Scotophilus andrewreborii,Scotophilus
Rhinolophus damarensis,Rhinolophus
Casinycteris campomaanensis,Casinycteris
Myotis escalerai,Myotis
Miniopterus griffithsi,Miniopterus
Miniopterus mahafaliensis,Miniopterus
Miniopterus brachytragos,Miniopterus
Triaenops parvus,Triaenops
Paratriaenops furculus,Paratriaenops
Paratriaenops pauliani,Paratriaenops
Paratriaenops auritus,Paratriaenops
Neoromicia roseveari,Neoromicia
Rhinolophus mossambicus,Rhinolophus
Rhinolophus cohenae,Rhinolophus
Rhinolophus smithersi,Rhinolophus
Megaloglossus azagnyi,Megaloglossus
Sturnira burtonlimi,Sturnira
Rhinolophus bocharicus,Rhinolophus
Rhinopoma hadramauticum,Rhinopoma
Neoromicia somalica,Neoromicia
Neoromicia nana,Neoromicia
Tylonycteris pygmaeus,Tylonycteris
Neoromicia brunnea,Neoromicia
Myotis phanluongi,Myotis
Lonchophylla orcesi,Lonchophylla
Lonchophylla chocoana,Lonchophylla
Pteropus coxi,Pteropus
Pteropus allenorum,Pteropus
Myotis diminutus,Myotis
Triaenops menamena,Triaenops
Sturnira koopmanhilli,Sturnira
Natalus macrourus,Natalus
Dryadonycteris capixaba,Dryadonycteris
Niumbaha superba,Niumbaha
Sturnira sorianoi,Sturnira
Rhinolophus xinanzhongguoensis,Rhinolophus
Micronycteris giovanniae,Micronycteris
Perimyotis subflavus,Perimyotis
Dyacopterus rickarti,Dyacopterus
Parastrellus hesperus,Parastrellus
Epomophorus anselli,Epomophorus
Plecotus ognevi,Plecotus
Plecotus macrobullaris,Plecotus
Dermanura tolteca,Dermanura
Dermanura azteca,Dermanura
Dermanura rosenbergi,Dermanura
Dermanura glauca,Dermanura
Dermanura watsoni,Dermanura
Dermanura gnoma,Dermanura
Dermanura anderseni,Dermanura
Dermanura bogotensis,Dermanura
Murina balaensis,Murina
Lonchophylla peracchii,Lonchophylla
Neoromicia robertsi,Neoromicia
Lophostoma occidentalis,Lophostoma
Miniopterus egeri,Miniopterus
Miniopterus petersoni,Miniopterus
Sturnira perla,Sturnira
Eptesicus taddeii,Eptesicus
Chaerephon atsinanana,Chaerephon
Myotis flavus,Myotis
Hipposideros griffini,Hipposideros
Lophostoma kalkoae,Lophostoma
Coleura kibomalandy,Coleura
Mormopterus eleryi,Mormopterus
Paremballonura atrata,Paremballonura
Paremballonura tiavato,Paremballonura
Micronycteris yatesi,Micronycteris
Natalus lanatus,Natalus
Anoura fistulata,Anoura
Xeronycteris vieirai,Xeronycteris
Thyroptera devivoi,Thyroptera
Asellia italosomalica,Asellia
Asellia arabica,Asellia
Myotis dieteri,Myotis
Rhogeessa menchuae,Rhogeessa
Rhogeessa bickhami,Rhogeessa
Artibeus schwartzi,Artibeus
Anoura peruana,Anoura
Carollia benkeithi,Carollia
Carollia monohernandezi,Carollia
Carollia manu,Carollia
Barbastella beijingensis,Barbastella
Chaerephon jobimena,Chaerephon
Otonycteris leucophaea,Otonycteris
Miniopterus aelleni,Miniopterus
Lophostoma yasuni,Lophostoma
Murina eleryi,Murina
Murina harrisoni,Murina
Murina gracilis,Murina
Murina bicolor,Murina
Eumops nanus,Eumops
Desmalopex microleucopterus,Desmalopex
Kerivoula titania,Kerivoula
Styloctenium mindorensis,Styloctenium
Murina beelzebub,Murina
Eumops wilsoni,Eumops
Murina walstoni,Murina
Rhinolophus microglobosus,Rhinolophus
Desmalopex leucopterus,Desmalopex
Kerivoula kachinensis,Kerivoula
Harpiola grisea,Harpiola
Harpiola isodon,Harpiola
Miniopterus griveaudi,Miniopterus
Hipposideros khaokhouayensis,Hipposideros
Scotophilus marovaza,Scotophilus
Hipposideros boeadii,Hipposideros
Nyctophilus shirleyae,Nyctophilus
Nyctophilus corbeni,Nyctophilus
Pteralopex flanneryi,Pteralopex
Mirimiri acrodonta,Mirimiri
Myzopoda schliemanni,Myzopoda
Nyctophilus major,Nyctophilus
Pipistrellus raceyi,Pipistrellus
Dermanura phaeotis,Dermanura
Dermanura cinerea,Dermanura
Sturnira hondurensis,Sturnira
Triaenops afer,Triaenops
Natalus mexicanus,Natalus
Rhinolophus tatar,Rhinolophus
Lonchophylla concava,Lonchophylla
Myotis petax,Myotis
Myotis taiwanensis,Myotis
Plecotus christiei,Plecotus
Nyctophilus daedalus,Nyctophilus
Nyctophilus sherrini,Nyctophilus
Plecotus sacrimontis,Plecotus
Neoromicia malagasyensis,Neoromicia
Rhinopoma cystops,Rhinopoma
Eumops floridanus,Eumops
Phoniscus papuensis,Phoniscus
Phoniscus jagorii,Phoniscus
Phoniscus atrox,Phoniscus
Phoniscus aerosa,Phoniscus
Murina ryukyuana,Murina
Kerivoula lenis,Kerivoula
Harpiocephalus mordax,Harpiocephalus
Murina hilgendorfi,Murina
Miniopterus shortridgei,Miniopterus
Miniopterus schreibersii,Miniopterus
